STUDY_INFO,STUDY_DATE_BEGIN,STUDY_DATE_END,NUM_CASE,SUB_NATIONAL_REGION,AREA_SIZE,YEAR_PUBLICATION,LONGITUDE,LATITUDE,AREA_HOSPITAL,COUNTRY,DIAGNOSTIC_METHOD_SUMMARY,STUDY_TYPE
"Adabara, N. U., B. U. Ezugwu, et al. (2012). ""The Prevalence and Antibiotic Susceptibility Pattern of Salmonella typhi among Patients Attending a Military Hospital in Minna, Nigeria."" Adv Prev Med 2012: 875419.",NA,NA,45.0,"31 Artillery Brigade Medical Centre, Minna",10 km by 13 km,2012,6.57067921683607,9.55777122786955,Hospital,Nigeria,Blood culture,Prospective study
"Enemchukwu, B. N., C. C. Ibe, et al. (2014). ""Liver function assessment in malaria, typhoid and malaria-typhoid co-infection in Aba, Abia State, Nigeria."" Pak J Biol Sci 17(6): 860-863.",NA,NA,60.0,"Abia State University Teaching Hospital, Aba, Abia State",NA,2014,7.373266,5.121588,Hospital,Nigeria,Unclear,Prospective study
"Tchuandom, S. B., et al. (2018). ""Seroprevalence of dengue virus among children presenting with febrile illness in some public health facilities in Cameroon."" Pan Afr Med J 31: 177.",2016,2017,22.0,"Adamaoua, Center, Far North, Littoral and West regions",200 km by 400 km,2018,12.5232262556278,9.54206612761683,Hospital,Cameroon,Rapid test,Cross-sectional study
"Makanjuola, O. B., et al. (2012). ""Quinolone and multidrug resistant Salmonella typhi in Ibadan, Nigeria."" International Journal of Tropical Medicine 7(3): 103-107.",2008,2009,NA,"Adeoyo Maternity Teaching Hospital, Ibadan",NA,2012,3.90230846732666,7.3871290517167,Hospital,Nigeria,Blood culture,Prospective study
"Mengo, D. M., S. Kariuki, et al. (2010). ""Trends in Salmonella enteric serovar Typhi in Nairobi, Kenya from 2004 to 2006."" J Infect Dev Ctries 4(6): 393-396.",2004,2006,100.0,"Aga Khan University Hospital and the Kenyatta National Hospital, Nairobi",NA,2010,36.8132117397113,-1.28353194584026,Hospital,Kenya,Blood culture,Cross-sectional study
"Mutai, W. C., et al. (2018). ""Multi-drug resistant Salmonella enterica serovar Typhi isolates with reduced susceptibility to ciprofloxacin in Kenya."" BMC Microbiol 18(1): 187.",2004,2007,115.0,"Aga Khan University Hospital and the Kenyatta National Hospital, Nairobi",NA,2018,36.8132117397113,-1.28353194584026,Hospital,Kenya,Blood culture,Cross-sectional study
"Omuse, G., R. Kohli, et al. (2010). ""Diagnostic utility of a single Widal test in the diagnosis of typhoid fever at Aga Khan University Hospital (AKUH), Nairobi, Kenya."" Trop Doct 40(1): 43-44.",2000,2008,87.0,"Aga Khan University Hospital, Nairobi",NA,2010,36.806625,-1.294338,Hospital,Kenya,Bone marrow culture,Retrospective study
"Nielsen, M. V., et al. (2015). ""Clinical indicators for bacterial co-infection in Ghanaian children with P. falciparum infection."" PLoS One 10(4): e0122139.",2007,2011,37.0,"Agogo Presbyterian Hospital, Asante Akim North, Ashanti",NA,2015,-1.08544625885586,6.79539005751685,Hospital,Ghana,Blood culture,Prospective study
"Nielsen, M.V., et al., Incidence and characteristics of bacteremia among children in rural Ghana. PLoS ONE, 2012. 7(9).",2007,2009,17.0,"Agogo Presbyterian Hospital, Asante Akim North, Ashanti",NA,2012,-1.08544625885586,6.79539005751685,Hospital,Ghana,Blood culture,Prospective study
"Marks, F., et al. (2010). ""Typhoid fever among children, ghana."" Emerging Infectious Diseases 16(11): 1796-1797.",2007,2008,37.0,"Agogo Presbyterian Hospital, Asante Akim North, Ashanti",NA,2010,-1.08,6.79,Hospital,Ghana,Blood culture,Prospective study
"Marks, F., et al. (2012). ""Incidence of invasive salmonella infections in Agogo, Ghana."" International Journal of Infectious Diseases 16: e124-e125.",2010,2011,64.0,"Agogo Presbyterian Hospital, Asante Akim North, Ashanti",NA,2012,-1.08,6.79,Hospital,Ghana,Blood culture,Prospective study
"Moirongo, R. M., et al. (2020). ""Regional Variation of Extended-Spectrum Beta-Lactamase (ESBL)-Producing Enterobacterales, Fluoroquinolone-Resistant Salmonella enterica and Methicillin-Resistant Staphylococcus aureus Among Febrile Patients in Sub-Saharan Africa."" Front Microbiol 11: 567235.",2013,2017,0.0,"Agogo Presbyterian Hospital, Asante Akim North, Ashanti",NA,2020,-1.08544625885586,6.79539005751685,Hospital,Ghana,Blood culture,Prospective study
"Marks, F., Y. Adu-Sarkodie, et al. (2010). ""Typhoid fever among children, Ghana."" Emerg Infect Dis 16(11): 1796-1797.",2007,2008,36.4,"Agogo, Ashanti Region",5 km by 5 km,2010,-1.08592994688395,6.79979617529084,Area,Ghana,Blood culture,Retrospective study
"Schwarz, N. G., et al. (2010). ""Systemic bacteraemia in children presenting with clinical pneumonia and the impact of non-typhoid salmonella (NTS)."" BMC Infect Dis 10: 319.",2007,2009,15.0,"Agogo, Ashanti Region",5 km by 5 km,2010,-1.08434206787731,6.80035014974575,Area,Ghana,Blood culture,Prospective study
"Adeshina, G.O., et al., Prevalence and susceptibility of Salmonella typhi and Salmonella paratyphi in Zaria, Nigeria. International Journal of Health Research, 2009. 2(4): p. 355-360.",2007,2008,39.0,"Ahmadu Bello University , Federal College of Education , Zaria",NA,2009,7.65462348398776,11.1514204226174,Hospital,Nigeria,Blood culture,Prospective study
"Ameh, E. A. (2001). ""Bowel resection in children."" East Afr Med J 78(9): 477-479.",1994,1998,25.0,"Ahmadu Bello University Teaching Hospital, Zaria",NA,2001,7.719945,11.0855409999999,Hospital,Nigeria,Clinical symptoms,Retrospective study
"Ameh, E. A., et al. (2013). ""Role of damage control enterostomy in management of children with peritonitis from acute intestinal disease."" African journal of paediatric surgery : AJPS 10(4): 315-319.",2000,2012,22.0,"Ahmadu Bello University Teaching Hospital, Zaria",NA,2013,7.719945,11.0855409999999,Hospital,Nigeria,Clinical symptoms,Retrospective study
"Bugaje, M. A., et al. (2009). ""Gangrene of the limb complicating Salmonella typhi septicaemia in a Nigerian child."" Nigerian journal of clinical practice 12(3): 335-337.",NA,NA,1.0,"Ahmadu Bello University Teaching Hospital, Zaria",NA,2009,7.719945,11.0855409999999,Hospital,Nigeria,Clinical symptoms,Case report
"Adeshina, G.O., et al., Prevalence and susceptibility of Salmonella typhi and Salmonella paratyphi in Zaria, Nigeria. International Journal of Health Research, 2009. 2(4): p. 355-360.",2007,2008,71.0,"Ahmadu Bello University, Federal College of Education, Salama Clinic,Savanna Polyclinics, Zaria",NA,2009,7.65752364118779,11.1685049564653,Hospital,Nigeria,Blood culture,Prospective study
"Kalu, I.G., T.E. Ogbulie, and F.N. Opara, Pattern of multi-drug resistant Salmonella enterica serovar typhi isolates in Nigeria. African Journal of Biotechnology, 2008. 7(21): p. 3817-3820.",NA,NA,27.0,"Akaraugo Hospital in Owerri, Imo state",NA,2008,7.04363896063461,5.49498841833738,Hospital,Nigeria,Stool culture,Prospective study
"Itah, A. Y. and E. E. Uweh (2005). ""Bacteria isolated from blood, stool and urine of typhoid patients in a developing country."" Southeast Asian Journal of Tropical Medicine and Public Health 36(3): 673-677.",NA,NA,55.0,Akwa Ibom State,111 km by 74 km,2005,7.83612778041556,4.92360327634768,Area,Nigeria,Widal test,Prospective study
"Itah, A. Y. and E. E. Uweh (2005). ""Bacteria isolated from blood, stool and urine of typhoid patients in a developing country."" Southeast Asian Journal of Tropical Medicine and Public Health 36(3): 673-677.",NA,NA,39.0,Akwa Ibom State,111 km by 74 km,2005,7.83612778041556,4.92360327634768,Area,Nigeria,Unclear,Prospective study
"Fernandes, J. F., et al. (2020). ""Causes of fever in Gabonese children: a cross-sectional hospital-based study."" Sci Rep 10(1): 2080.",2015,2016,4.0,"Albert Schweitzer Hospital, Lambaréné",NA,2020,10.2304831403669,-0.677909303023121,Hospital,Gabon,Blood culture,Cross-sectional study
"Moirongo, R. M., et al. (2020). ""Regional Variation of Extended-Spectrum Beta-Lactamase (ESBL)-Producing Enterobacterales, Fluoroquinolone-Resistant Salmonella enterica and Methicillin-Resistant Staphylococcus aureus Among Febrile Patients in Sub-Saharan Africa."" Front Microbiol 11: 567235.",2013,2017,0.0,"Albert Schweitzer Hospital, Lambaréné",NA,2020,10.228684308354,-0.67927139979804,Hospital,Gabon,Blood culture,Prospective study
"D'Acremont, V., M. Kilowoko, et al. (2014). ""Beyond malaria--causes of fever in outpatient Tanzanian children."" N Engl J Med 370(9): 809-817.",2008,2008,37.0,"Amana District Hospital, Dar es Salaam",NA,2014,39.2589699999999,-6.82648,Hospital,"Tanzania, United Republic of",Blood culture,Prospective study
"Zerfu, B. et al. Community-based prevalence of typhoid fever, typhus, brucellosis and malaria among symptomatic individuals in Afar Region, Ethiopia. PLoS Negl Trop Dis 12, e0006749, doi:10.1371/journal.pntd.0006749 (2018).",2016,2016,46.0,"Amibara district, Afar Region",60 km by 60 km,2019,40.4186048584178,9.44244554626538,Area,Ethiopia,Widal test,Cross-sectional study
